KESATUAN,JAN,,FEB,,MAR,,APR,,MEI,,JUN,,JUL,,AGT,,SEP,,OKT,,NOV,,DES,,JUMLAH,
,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC,CT,CC
RESKRIM ,58,39,40,26,46,35,45,29,33,22,46,32,45,32,36,27,42,28,44,35,45,33,27,23,507,361
SEK ARJASA,3,3,1,1,5,4,3,1,4,2,2,1,1,0,3,3,4,3,2,1,0,0,1,1,29,20
SEK PAKUSARI,7,7,5,4,3,2,2,1,5,4,1,1,4,1,6,4,3,2,1,1,2,2,0,0,39,29
SEK KALISAT,2,2,3,2,4,3,8,4,7,3,5,1,12,4,14,9,14,11,6,3,7,4,2,1,84,47
SEK SUKOWONO,3,3,4,4,2,2,2,1,5,3,5,1,7,3,3,3,2,3,2,1,1,1,2,2,38,27
SEK LEDOKOMBO,1,1,2,1,2,2,1,0,1,0,0,0,2,1,2,1,5,2,3,2,2,1,1,1,22,12
SEK SUMBERJAMBE,7,7,4,4,4,4,7,4,7,6,3,1,4,3,6,4,3,3,4,4,5,5,1,1,55,46
SEK MAYANG,0,0,1,0,1,1,0,0,2,2,1,1,2,1,1,1,1,0,1,0,0,0,1,0,11,6
SEK MUMBULSARI,3,3,3,3,2,2,4,4,2,2,1,1,2,2,1,1,2,2,5,5,3,2,0,0,28,27
SEK TEMPUREJO,3,3,0,0,1,0,1,1,5,2,1,1,4,4,0,0,0,0,1,1,3,2,0,0,19,14
SEK SEMPOLAN,1,1,0,0,3,1,4,2,5,2,2,1,2,1,2,2,1,1,3,3,2,0,1,1,26,15
SEK RAMBIPUJI,4,4,6,5,6,3,8,7,8,6,4,3,4,4,12,8,16,9,9,1,15,5,4,2,96,57
SEK PANTI,3,1,1,1,3,3,3,1,9,5,4,3,7,3,4,2,5,4,9,2,4,2,4,3,56,30
SEK KALIWATES,3,3,2,1,10,7,9,7,6,4,5,3,5,3,3,2,2,1,2,1,8,5,1,0,56,37
SEK JENGGAWAH,3,3,6,5,4,4,9,8,4,4,2,2,7,7,6,5,4,4,2,2,4,4,4,3,55,51
SEK BALUNG,3,3,3,2,5,4,3,2,8,8,5,4,4,3,4,3,6,5,7,7,5,4,3,2,56,47
SEK AMBULU,1,1,1,0,1,1,3,3,2,2,4,3,6,3,3,2,4,3,0,0,5,3,1,1,31,22
SEK WULUHAN,1,1,4,3,4,3,5,5,4,4,7,6,3,3,4,3,4,2,4,3,6,6,2,2,48,41
SEK TANGGUL,4,2,4,3,4,2,7,3,5,4,4,3,7,5,4,3,7,7,8,7,6,4,1,0,61,43
SEK BANGSALSARI,4,4,4,4,6,5,3,2,5,5,3,3,5,4,2,2,4,4,3,3,2,2,0,0,41,38
SEK SUMBERBARU,7,5,4,2,3,1,4,1,3,1,5,3,6,6,4,3,3,3,6,5,6,5,0,0,51,35
SEK KENCONG,4,3,1,0,1,1,0,0,0,0,0,0,1,1,2,2,0,0,2,2,0,0,0,0,11,9
SEK GUMUKMAS,6,6,1,1,1,1,3,3,0,0,1,1,0,0,2,2,0,0,1,1,0,0,1,0,16,15
SEK UMBULSARI,1,1,2,2,1,1,4,4,8,6,1,1,2,3,1,0,3,2,2,0,1,1,2,2,28,23
SEK PUGER,4,4,6,6,4,4,5,5,2,2,5,5,4,4,0,0,3,3,7,7,2,2,1,1,43,43
SEK SUMBERSARI,3,3,2,2,4,4,4,4,3,2,5,3,3,1,3,0,4,2,5,5,1,1,1,1,38,28
SEK PATRANG,13,10,5,4,5,4,4,2,4,3,2,2,5,3,1,0,3,3,1,1,3,1,0,0,46,33
SEK JELBUK,6,5,1,1,3,3,3,2,2,2,2,1,3,4,2,1,1,1,4,5,3,3,2,1,32,29
SEK SUKORAMBI,0,0,1,1,1,0,4,4,2,2,1,1,2,2,1,1,0,0,0,0,2,2,0,0,14,13
SEK SEMBORO,3,3,2,2,2,1,3,3,2,2,1,1,4,4,3,3,3,3,3,3,5,4,3,3,34,32
SEK JOMBANG,0,0,3,3,1,1,1,1,1,1,0,0,3,2,1,0,4,4,1,0,0,0,1,2,16,14
SEK AJUNG,,,,,,,,,,,,,,,,,,,,,,,,,0,0
