district_id,district_name,number_of_crime,crime_cleared,avg_crime,level,score,method,month_num,year
350901,Jombang,0,0,0,low,100,kmeans,1,2020
350901,Jombang,3,3,0,low,98,kmeans,2,2020
350901,Jombang,1,1,0,low,100,kmeans,3,2020
350901,Jombang,1,1,0,low,100,kmeans,4,2020
350901,Jombang,1,1,0,low,100,kmeans,5,2020
350901,Jombang,0,0,0,low,100,kmeans,6,2020
350901,Jombang,3,2,0,low,98,kmeans,7,2020
350901,Jombang,1,0,0,low,100,kmeans,8,2020
350901,Jombang,4,4,0,low,97,kmeans,9,2020
350901,Jombang,1,0,0,low,100,kmeans,10,2020
350901,Jombang,0,0,0,low,100,kmeans,11,2020
350901,Jombang,1,2,0,low,100,kmeans,12,2020
350901,Jombang,4,4,0,low,97,kmeans,1,2021
350901,Jombang,3,3,0,low,98,kmeans,2,2021
350901,Jombang,2,2,0,low,99,kmeans,3,2021
350901,Jombang,3,3,0,low,98,kmeans,4,2021
350901,Jombang,3,0,0,low,98,kmeans,5,2021
350901,Jombang,4,3,0,low,97,kmeans,6,2021
350901,Jombang,1,1,0,low,100,kmeans,7,2021
350901,Jombang,2,2,0,low,99,kmeans,8,2021
350901,Jombang,1,1,0,low,100,kmeans,9,2021
350901,Jombang,2,2,0,low,99,kmeans,10,2021
350901,Jombang,2,2,0,low,99,kmeans,11,2021
350901,Jombang,5,5,0,low,96,kmeans,12,2021
350901,Jombang,4,2,0,low,97,kmeans,1,2022
350901,Jombang,2,3,0,low,99,kmeans,2,2022
350901,Jombang,1,0,0,low,100,kmeans,3,2022
350901,Jombang,0,0,0,low,100,kmeans,4,2022
350901,Jombang,0,0,0,low,100,kmeans,5,2022
350901,Jombang,1,1,0,low,100,kmeans,6,2022
350901,Jombang,1,1,0,low,100,kmeans,7,2022
350901,Jombang,2,2,0,low,99,kmeans,8,2022
350901,Jombang,3,3,0,low,98,kmeans,9,2022
350901,Jombang,5,5,0,low,96,kmeans,10,2022
350901,Jombang,0,0,0,low,100,kmeans,11,2022
350901,Jombang,4,4,0,low,97,kmeans,12,2022
350901,Jombang,1,1,0,low,100,kmeans,1,2023
350901,Jombang,1,1,0,low,100,kmeans,2,2023
350901,Jombang,1,1,0,low,100,kmeans,3,2023
350901,Jombang,1,1,0,low,100,kmeans,4,2023
350901,Jombang,0,0,0,low,100,kmeans,5,2023
350901,Jombang,1,1,0,low,100,kmeans,6,2023
350901,Jombang,1,1,0,low,100,kmeans,7,2023
350901,Jombang,2,2,0,low,99,kmeans,8,2023
350901,Jombang,3,3,0,low,98,kmeans,9,2023
350901,Jombang,6,6,0,low,95,kmeans,10,2023
350901,Jombang,6,5,0,low,95,kmeans,11,2023
350901,Jombang,3,4,0,low,98,kmeans,12,2023
350901,Jombang,1,1,0,low,100,kmeans,1,2024
350901,Jombang,1,1,0,low,100,kmeans,2,2024
350901,Jombang,4,4,0,low,97,kmeans,3,2024
350901,Jombang,2,2,0,low,99,kmeans,4,2024
350901,Jombang,2,2,0,low,99,kmeans,5,2024
350901,Jombang,1,1,0,low,100,kmeans,6,2024
350901,Jombang,2,2,0,low,99,kmeans,7,2024
350901,Jombang,3,3,0,low,98,kmeans,8,2024
350901,Jombang,2,2,0,low,99,kmeans,9,2024
350901,Jombang,3,3,0,low,98,kmeans,10,2024
350901,Jombang,0,0,0,low,100,kmeans,11,2024
350901,Jombang,0,0,0,low,100,kmeans,12,2024
350902,Kencong,4,3,0,low,97,kmeans,1,2020
350902,Kencong,1,0,0,low,100,kmeans,2,2020
350902,Kencong,1,1,0,low,100,kmeans,3,2020
350902,Kencong,0,0,0,low,100,kmeans,4,2020
350902,Kencong,0,0,0,low,100,kmeans,5,2020
350902,Kencong,0,0,0,low,100,kmeans,6,2020
