district_id,district_name,crime_total,crime_cleared,avg_crime,score,level
350901,Jombang,112,41,10.25,99,low
350902,Kencong,95,37,9.5,100,low
350903,Sumberbaru,458,332,100,26,medium
350904,Gumukmas,456,337,100.25,26,medium
350905,Umbulsari,124,44,11.25,98,low
350906,Tanggul,501,337,97,28,medium
350907,Semboro,127,47,12.25,98,low
350908,Puger,553,385,112,16,medium
350909,Bangsalsari,568,403,118.25,11,medium
350910,Balung,582,422,131,0,medium
350911,Wuluhan,520,379,114.5,14,medium
350912,Ambulu,534,366,110.5,17,medium
350913,Rambipuji,500,373,106.5,21,medium
350914,Panti,135,43,11.25,98,low
350915,Sukorambi,134,44,11.25,98,low
350916,Jenggawah,515,362,109.5,18,medium
350917,Ajung,516,363,107.25,20,medium
350918,Tempurejo,208,143,36.75,78,low
350919,Kaliwates,547,400,119,10,high
350920,Patrang,574,416,127,4,high
350921,Sumbersari,529,359,105.5,21,high
350922,Arjasa,156,56,14.25,96,low
350923,Mumbulsari,103,35,8.75,100,low
350924,Pakusari,113,52,13,97,low
350925,Jelbuk,144,41,10.5,99,low
350926,Mayang,141,51,12.75,97,low
350927,Kalisat,112,45,11.25,98,low
350928,Ledokombo,118,45,11.75,98,low
350929,Sukowono,112,46,11.5,98,low
350930,Silo,522,381,108.25,19,medium
350931,Sumberjambe,141,43,10.75,99,low
