district_id,district_name,crime_total,crime_cleared,avg_crime,score,level
350901,Jombang,118,110,29.5,73,low
350902,Kencong,91,74,22.75,80,low
350903,Sumberbaru,157,130,39.25,64,high
350904,Gumukmas,91,78,22.75,80,low
350905,Umbulsari,115,88,28.75,74,low
350906,Tanggul,266,213,66.5,39,high
350907,Semboro,94,89,23.5,79,low
350908,Puger,180,160,45,59,high
350909,Bangsalsari,154,132,38.5,65,high
350910,Balung,278,223,69.5,37,high
350911,Wuluhan,216,176,54,51,high
350912,Ambulu,157,124,39.25,64,high
350913,Rambipuji,278,170,69.5,37,low
350914,Panti,139,109,34.75,69,low
350915,Sukorambi,77,55,19.25,83,low
350916,Jenggawah,235,224,58.75,47,high
350917,Ajung,88,77,22,80,low
350918,Tempurejo,74,48,18.5,84,low
350919,Kaliwates,194,139,48.5,56,medium
350920,Patrang,202,145,50.5,54,medium
350921,Sumbersari,217,138,54.25,51,medium
350922,Arjasa,116,81,29,74,low
350923,Mumbulsari,99,81,24.75,78,low
350924,Pakusari,152,129,38,66,low
350925,Jelbuk,132,90,33,70,low
350926,Mayang,89,60,22.25,80,low
350927,Kalisat,270,163,67.5,39,high
350928,Ledokombo,103,76,25.75,77,low
350929,Sukowono,171,125,42.75,61,low
350930,Silo,143,85,35.75,68,high
350931,Sumberjambe,109,94,27.25,75,low
