district_id,district_name,number_of_crime,level,score,method,year
350901,Jombang,16,low,86,kmeans,2020
350901,Jombang,32,low,71,kmeans,2021
350901,Jombang,23,low,79,kmeans,2022
350901,Jombang,26,low,77,kmeans,2023
350901,Jombang,21,low,81,kmeans,2024
350902,Kencong,11,low,90,kmeans,2020
350902,Kencong,18,low,84,kmeans,2021
350902,Kencong,17,low,85,kmeans,2022
350902,Kencong,21,low,81,kmeans,2023
350902,Kencong,24,low,78,kmeans,2024
350903,Sumberbaru,51,high,54,kmeans,2020
350903,Sumberbaru,37,high,67,kmeans,2021
350903,Sumberbaru,23,high,79,kmeans,2022
350903,Sumberbaru,23,high,79,kmeans,2023
350903,Sumberbaru,23,high,79,kmeans,2024
350904,Gumukmas,16,low,86,kmeans,2020
350904,Gumukmas,27,low,76,kmeans,2021
350904,Gumukmas,18,low,84,kmeans,2022
350904,Gumukmas,10,low,91,kmeans,2023
350904,Gumukmas,20,low,82,kmeans,2024
350905,Umbulsari,28,high,75,kmeans,2020
350905,Umbulsari,26,low,77,kmeans,2021
350905,Umbulsari,24,low,78,kmeans,2022
350905,Umbulsari,21,low,81,kmeans,2023
350905,Umbulsari,16,low,86,kmeans,2024
350906,Tanggul,61,high,45,kmeans,2020
350906,Tanggul,58,high,47,kmeans,2021
350906,Tanggul,61,high,45,kmeans,2022
350906,Tanggul,55,high,50,kmeans,2023
350906,Tanggul,31,high,72,kmeans,2024
350907,Semboro,34,low,69,kmeans,2020
350907,Semboro,23,low,79,kmeans,2021
350907,Semboro,19,low,83,kmeans,2022
350907,Semboro,9,low,92,kmeans,2023
350907,Semboro,9,low,92,kmeans,2024
350908,Puger,43,high,61,kmeans,2020
350908,Puger,57,high,48,kmeans,2021
350908,Puger,33,high,70,kmeans,2022
350908,Puger,26,high,77,kmeans,2023
350908,Puger,21,high,81,kmeans,2024
350909,Bangsalsari,41,high,63,kmeans,2020
350909,Bangsalsari,41,high,63,kmeans,2021
350909,Bangsalsari,34,high,69,kmeans,2022
350909,Bangsalsari,13,low,89,kmeans,2023
350909,Bangsalsari,25,high,78,kmeans,2024
350910,Balung,56,high,49,kmeans,2020
350910,Balung,74,high,33,kmeans,2021
350910,Balung,54,high,51,kmeans,2022
350910,Balung,55,high,50,kmeans,2023
350910,Balung,39,high,65,kmeans,2024
350911,Wuluhan,48,high,56,kmeans,2020
350911,Wuluhan,70,high,36,kmeans,2021
350911,Wuluhan,45,high,59,kmeans,2022
350911,Wuluhan,26,high,77,kmeans,2023
350911,Wuluhan,27,high,76,kmeans,2024
350912,Ambulu,31,high,72,kmeans,2020
350912,Ambulu,39,high,65,kmeans,2021
350912,Ambulu,26,high,77,kmeans,2022
350912,Ambulu,31,high,72,kmeans,2023
350912,Ambulu,30,high,73,kmeans,2024
350913,Rambipuji,96,high,12,kmeans,2020
350913,Rambipuji,109,high,0,kmeans,2021
350913,Rambipuji,32,low,71,kmeans,2022
350913,Rambipuji,20,low,82,kmeans,2023
350913,Rambipuji,21,low,81,kmeans,2024
350914,Panti,56,high,49,kmeans,2020
350914,Panti,28,low,75,kmeans,2021
350914,Panti,22,low,80,kmeans,2022
350914,Panti,24,low,78,kmeans,2023
350914,Panti,9,low,92,kmeans,2024
350915,Sukorambi,14,low,88,kmeans,2020
350915,Sukorambi,27,low,76,kmeans,2021
350915,Sukorambi,14,low,88,kmeans,2022
350915,Sukorambi,18,low,84,kmeans,2023
350915,Sukorambi,4,low,97,kmeans,2024
350916,Jenggawah,55,high,50,kmeans,2020
350916,Jenggawah,51,high,54,kmeans,2021
350916,Jenggawah,34,low,69,kmeans,2022
350916,Jenggawah,57,high,48,kmeans,2023
350916,Jenggawah,38,high,66,kmeans,2024
350917,Ajung,0,low,100,kmeans,2020
350917,Ajung,16,low,86,kmeans,2021
350917,Ajung,23,low,79,kmeans,2022
350917,Ajung,24,low,78,kmeans,2023
350917,Ajung,25,low,78,kmeans,2024
350918,Tempurejo,19,low,83,kmeans,2020
350918,Tempurejo,14,low,88,kmeans,2021
350918,Tempurejo,18,low,84,kmeans,2022
350918,Tempurejo,10,low,91,kmeans,2023
350918,Tempurejo,13,low,89,kmeans,2024
350919,Kaliwates,56,medium,49,kmeans,2020
350919,Kaliwates,63,medium,43,kmeans,2021
350919,Kaliwates,36,medium,67,kmeans,2022
350919,Kaliwates,23,medium,79,kmeans,2023
350919,Kaliwates,16,medium,86,kmeans,2024
