district_id,district_name,number_of_crime,avg_crime,crime_cleared,level,score,method,year
350901,Jombang,10,0.83,10,low,93,kmeans,2020
350901,Jombang,19,1.58,19,low,87,kmeans,2021
350901,Jombang,4,0.33,4,low,98,kmeans,2022
350901,Jombang,4,0.33,4,low,98,kmeans,2023
350901,Jombang,4,0.33,4,low,98,kmeans,2024
350901,Jombang,71,5.92,40,medium,50,kmeans,2025
350902,Kencong,11,0.92,9,low,93,kmeans,2020
350902,Kencong,10,0.83,10,low,93,kmeans,2021
350902,Kencong,6,0.5,6,low,96,kmeans,2022
350902,Kencong,7,0.58,7,low,95,kmeans,2023
350902,Kencong,4,0.33,5,low,98,kmeans,2024
350902,Kencong,57,4.75,7,medium,60,kmeans,2025
350903,Sumberbaru,85,7.08,73,medium,40,kmeans,2020
350903,Sumberbaru,109,9.08,87,medium,23,kmeans,2021
350903,Sumberbaru,75,6.25,63,medium,47,kmeans,2022
350903,Sumberbaru,49,4.08,39,medium,65,kmeans,2023
350903,Sumberbaru,82,6.83,70,medium,42,kmeans,2024
350903,Sumberbaru,58,4.83,38,medium,59,kmeans,2025
350904,Gumukmas,101,8.42,80,medium,28,kmeans,2020
350904,Gumukmas,104,8.67,88,medium,26,kmeans,2021
350904,Gumukmas,73,6.08,69,medium,48,kmeans,2022
350904,Gumukmas,49,4.08,40,medium,65,kmeans,2023
350904,Gumukmas,74,6.17,60,low,48,kmeans,2024
350904,Gumukmas,55,4.58,32,medium,61,kmeans,2025
350905,Umbulsari,14,1.17,13,low,90,kmeans,2020
350905,Umbulsari,17,1.42,17,low,88,kmeans,2021
350905,Umbulsari,7,0.58,7,low,95,kmeans,2022
350905,Umbulsari,5,0.42,5,low,97,kmeans,2023
350905,Umbulsari,2,0.17,2,low,99,kmeans,2024
350905,Umbulsari,79,6.58,33,medium,44,kmeans,2025
350906,Tanggul,102,8.5,78,medium,28,kmeans,2020
350906,Tanggul,95,7.92,86,medium,33,kmeans,2021
350906,Tanggul,93,7.75,83,medium,34,kmeans,2022
350906,Tanggul,69,5.75,63,medium,51,kmeans,2023
350906,Tanggul,29,2.42,27,low,80,kmeans,2024
350906,Tanggul,113,9.42,20,medium,20,kmeans,2025
350907,Semboro,13,1.08,11,low,91,kmeans,2020
350907,Semboro,21,1.75,21,low,85,kmeans,2021
350907,Semboro,6,0.5,6,low,96,kmeans,2022
350907,Semboro,5,0.42,5,low,97,kmeans,2023
350907,Semboro,4,0.33,4,low,98,kmeans,2024
350907,Semboro,78,6.5,32,medium,45,kmeans,2025
350908,Puger,102,8.5,85,medium,28,kmeans,2020
350908,Puger,98,8.17,84,medium,30,kmeans,2021
350908,Puger,82,6.83,74,medium,42,kmeans,2022
350908,Puger,94,7.83,76,medium,33,kmeans,2023
350908,Puger,72,6,66,medium,49,kmeans,2024
350908,Puger,105,8.75,64,medium,25,kmeans,2025
350909,Bangsalsari,97,8.08,80,medium,31,kmeans,2020
350909,Bangsalsari,121,10.08,103,medium,14,kmeans,2021
350909,Bangsalsari,116,9.67,102,medium,18,kmeans,2022
350909,Bangsalsari,75,6.25,65,medium,47,kmeans,2023
350909,Bangsalsari,64,5.33,53,medium,55,kmeans,2024
350909,Bangsalsari,95,7.92,55,medium,33,kmeans,2025
350910,Balung,122,10.17,94,medium,13,kmeans,2020
350910,Balung,127,10.58,104,medium,10,kmeans,2021
350910,Balung,81,6.75,71,medium,43,kmeans,2022
350910,Balung,92,7.67,74,medium,35,kmeans,2023
350910,Balung,102,8.5,79,medium,28,kmeans,2024
350910,Balung,58,4.83,16,medium,59,kmeans,2025
350911,Wuluhan,96,8,77,medium,32,kmeans,2020
350911,Wuluhan,132,11,103,medium,6,kmeans,2021
350911,Wuluhan,72,6,67,medium,49,kmeans,2022
350911,Wuluhan,84,7,70,medium,40,kmeans,2023
350911,Wuluhan,74,6.17,62,medium,48,kmeans,2024
350911,Wuluhan,62,5.17,31,medium,56,kmeans,2025
350912,Ambulu,99,8.25,79,medium,30,kmeans,2020
350912,Ambulu,97,8.08,83,medium,31,kmeans,2021
350912,Ambulu,77,6.42,73,medium,45,kmeans,2022
350912,Ambulu,99,8.25,75,medium,30,kmeans,2023
350912,Ambulu,70,5.83,56,medium,50,kmeans,2024
350912,Ambulu,92,7.67,55,medium,35,kmeans,2025
350913,Rambipuji,103,8.58,86,medium,27,kmeans,2020
350913,Rambipuji,103,8.58,91,medium,27,kmeans,2021
350913,Rambipuji,104,8.67,96,medium,26,kmeans,2022
350913,Rambipuji,68,5.67,58,medium,52,kmeans,2023
350913,Rambipuji,48,4,42,medium,66,kmeans,2024
350913,Rambipuji,74,6.17,47,medium,48,kmeans,2025
350914,Panti,11,0.92,9,low,93,kmeans,2020
350914,Panti,19,1.58,19,low,87,kmeans,2021
350914,Panti,7,0.58,7,low,95,kmeans,2022
350914,Panti,5,0.42,5,low,97,kmeans,2023
350914,Panti,3,0.25,3,low,98,kmeans,2024
350914,Panti,90,7.5,54,medium,36,kmeans,2025
350915,Sukorambi,11,0.92,10,low,93,kmeans,2020
350915,Sukorambi,19,1.58,19,low,87,kmeans,2021
350915,Sukorambi,4,0.33,4,low,98,kmeans,2022
350915,Sukorambi,6,0.5,6,low,96,kmeans,2023
350915,Sukorambi,5,0.42,5,low,97,kmeans,2024
350915,Sukorambi,89,7.42,21,medium,37,kmeans,2025
350916,Jenggawah,106,8.83,83,medium,25,kmeans,2020
350916,Jenggawah,111,9.25,92,medium,21,kmeans,2021
350916,Jenggawah,96,8,80,medium,32,kmeans,2022
350916,Jenggawah,59,4.92,54,medium,58,kmeans,2023
350916,Jenggawah,66,5.5,53,medium,53,kmeans,2024
350916,Jenggawah,77,6.42,27,medium,45,kmeans,2025
350917,Ajung,82,6.83,71,medium,42,kmeans,2020
350917,Ajung,107,8.92,92,medium,24,kmeans,2021
350917,Ajung,95,7.92,87,medium,33,kmeans,2022
350917,Ajung,63,5.25,56,medium,55,kmeans,2023
350917,Ajung,82,6.83,57,medium,42,kmeans,2024
350917,Ajung,87,7.25,66,medium,38,kmeans,2025
350918,Tempurejo,39,3.25,35,low,73,kmeans,2020
350918,Tempurejo,49,4.08,48,low,65,kmeans,2021
350918,Tempurejo,27,2.25,27,low,81,kmeans,2022
350918,Tempurejo,15,1.25,16,low,90,kmeans,2023
350918,Tempurejo,17,1.42,17,low,88,kmeans,2024
350918,Tempurejo,61,5.08,26,medium,57,kmeans,2025
350919,Kaliwates,89,7.42,73,high,37,kmeans,2020
350919,Kaliwates,124,10.33,105,high,12,kmeans,2021
350919,Kaliwates,93,7.75,80,high,34,kmeans,2022
350919,Kaliwates,70,5.83,60,high,50,kmeans,2023
350919,Kaliwates,100,8.33,82,high,29,kmeans,2024
350919,Kaliwates,71,5.92,46,medium,50,kmeans,2025
350920,Patrang,124,10.33,98,high,12,kmeans,2020
350920,Patrang,140,11.67,110,high,0,kmeans,2021
350920,Patrang,88,7.33,83,high,38,kmeans,2022
350920,Patrang,52,4.33,48,high,63,kmeans,2023
350920,Patrang,104,8.67,77,high,26,kmeans,2024
350920,Patrang,66,5.5,27,medium,53,kmeans,2025
350921,Sumbersari,94,7.83,77,medium,33,kmeans,2020
350921,Sumbersari,89,7.42,79,high,37,kmeans,2021
350921,Sumbersari,107,8.92,89,high,24,kmeans,2022
350921,Sumbersari,53,4.42,51,high,63,kmeans,2023
350921,Sumbersari,79,6.58,63,high,44,kmeans,2024
350921,Sumbersari,107,8.92,42,medium,24,kmeans,2025
350922,Arjasa,8,0.67,6,low,95,kmeans,2020
350922,Arjasa,26,2.17,26,low,82,kmeans,2021
350922,Arjasa,14,1.17,14,low,90,kmeans,2022
350922,Arjasa,6,0.5,6,low,96,kmeans,2023
350922,Arjasa,3,0.25,4,low,98,kmeans,2024
350922,Arjasa,99,8.25,56,medium,30,kmeans,2025
350923,Mumbulsari,10,0.83,9,low,93,kmeans,2020
350923,Mumbulsari,17,1.42,18,low,88,kmeans,2021
350923,Mumbulsari,2,0.17,2,low,99,kmeans,2022
350923,Mumbulsari,2,0.17,2,low,99,kmeans,2023
350923,Mumbulsari,4,0.33,4,low,98,kmeans,2024
350923,Mumbulsari,68,5.67,35,medium,52,kmeans,2025
350924,Pakusari,11,0.92,12,low,93,kmeans,2020
350924,Pakusari,21,1.75,21,low,85,kmeans,2021
350924,Pakusari,10,0.83,10,low,93,kmeans,2022
350924,Pakusari,7,0.58,7,low,95,kmeans,2023
350924,Pakusari,3,0.25,3,low,98,kmeans,2024
350924,Pakusari,61,5.08,43,medium,57,kmeans,2025
350925,Jelbuk,12,1,11,low,92,kmeans,2020
350925,Jelbuk,21,1.75,21,low,85,kmeans,2021
350925,Jelbuk,6,0.5,6,low,96,kmeans,2022
350925,Jelbuk,3,0.25,3,low,98,kmeans,2023
350925,Jelbuk,0,0,0,low,100,kmeans,2024
350925,Jelbuk,102,8.5,76,medium,28,kmeans,2025
350926,Mayang,16,1.33,15,low,89,kmeans,2020
350926,Mayang,18,1.5,19,low,88,kmeans,2021
350926,Mayang,6,0.5,6,low,96,kmeans,2022
350926,Mayang,7,0.58,7,low,95,kmeans,2023
350926,Mayang,4,0.33,4,low,98,kmeans,2024
350926,Mayang,90,7.5,46,medium,36,kmeans,2025
350927,Kalisat,16,1.33,15,low,89,kmeans,2020
350927,Kalisat,15,1.25,16,low,90,kmeans,2021
350927,Kalisat,5,0.42,5,low,97,kmeans,2022
350927,Kalisat,4,0.33,4,low,98,kmeans,2023
350927,Kalisat,5,0.42,5,low,97,kmeans,2024
350927,Kalisat,67,5.58,46,medium,53,kmeans,2025
350928,Ledokombo,10,0.83,8,low,93,kmeans,2020
