district_id,district_name,number_of_crime,crime_cleared,avg_crime,level,score,method,year
350901,Jombang,16,14,1.33,low,86,kmeans,2020
350901,Jombang,32,28,2.67,low,71,kmeans,2021
350901,Jombang,23,21,1.92,low,79,kmeans,2022
350901,Jombang,26,26,2.17,low,77,kmeans,2023
350901,Jombang,21,21,1.75,low,81,kmeans,2024
350902,Kencong,11,9,0.92,low,90,kmeans,2020
350902,Kencong,18,14,1.50,low,84,kmeans,2021
350902,Kencong,17,15,1.42,low,85,kmeans,2022
350902,Kencong,21,17,1.75,low,81,kmeans,2023
350902,Kencong,24,19,2.00,low,78,kmeans,2024
350903,Sumberbaru,51,35,4.25,high,54,kmeans,2020
350903,Sumberbaru,37,30,3.08,high,67,kmeans,2021
350903,Sumberbaru,23,23,1.92,high,79,kmeans,2022
350903,Sumberbaru,23,21,1.92,high,79,kmeans,2023
350903,Sumberbaru,23,21,1.92,high,79,kmeans,2024
350904,Gumukmas,16,15,1.33,low,86,kmeans,2020
350904,Gumukmas,27,20,2.25,low,76,kmeans,2021
350904,Gumukmas,18,13,1.50,low,84,kmeans,2022
350904,Gumukmas,10,10,0.83,low,91,kmeans,2023
350904,Gumukmas,20,20,1.67,low,82,kmeans,2024
350905,Umbulsari,28,23,2.33,high,75,kmeans,2020
350905,Umbulsari,26,17,2.17,low,77,kmeans,2021
350905,Umbulsari,24,12,2.00,low,78,kmeans,2022
350905,Umbulsari,21,20,1.75,low,81,kmeans,2023
350905,Umbulsari,16,16,1.33,low,86,kmeans,2024
350906,Tanggul,61,43,5.08,high,45,kmeans,2020
350906,Tanggul,58,42,4.83,high,47,kmeans,2021
350906,Tanggul,61,45,5.08,high,45,kmeans,2022
350906,Tanggul,55,55,4.58,high,50,kmeans,2023
350906,Tanggul,31,28,2.58,high,72,kmeans,2024
350907,Semboro,34,32,2.83,low,69,kmeans,2020
350907,Semboro,23,21,1.92,low,79,kmeans,2021
350907,Semboro,19,19,1.58,low,83,kmeans,2022
350907,Semboro,9,9,0.75,low,92,kmeans,2023
350907,Semboro,9,8,0.75,low,92,kmeans,2024
350908,Puger,43,43,3.58,high,61,kmeans,2020
350908,Puger,57,49,4.75,high,48,kmeans,2021
350908,Puger,33,27,2.75,high,70,kmeans,2022
350908,Puger,26,21,2.17,high,77,kmeans,2023
350908,Puger,21,20,1.75,high,81,kmeans,2024
350909,Bangsalsari,41,38,3.42,high,63,kmeans,2020
350909,Bangsalsari,41,24,3.42,high,63,kmeans,2021
350909,Bangsalsari,34,32,2.83,high,69,kmeans,2022
350909,Bangsalsari,13,13,1.08,low,89,kmeans,2023
350909,Bangsalsari,25,25,2.08,high,78,kmeans,2024
350910,Balung,56,47,4.67,high,49,kmeans,2020
350910,Balung,74,62,6.17,high,33,kmeans,2021
350910,Balung,54,43,4.50,high,51,kmeans,2022
350910,Balung,55,43,4.58,high,50,kmeans,2023
350910,Balung,39,28,3.25,high,65,kmeans,2024
350911,Wuluhan,48,41,4.00,high,56,kmeans,2020
350911,Wuluhan,70,49,5.83,high,36,kmeans,2021
350911,Wuluhan,45,37,3.75,high,59,kmeans,2022
350911,Wuluhan,26,25,2.17,high,77,kmeans,2023
350911,Wuluhan,27,24,2.25,high,76,kmeans,2024
350912,Ambulu,31,22,2.58,high,72,kmeans,2020
350912,Ambulu,39,27,3.25,high,65,kmeans,2021
350912,Ambulu,26,25,2.17,high,77,kmeans,2022
350912,Ambulu,31,28,2.58,high,72,kmeans,2023
350912,Ambulu,30,22,2.50,high,73,kmeans,2024
350913,Rambipuji,96,57,8.00,high,12,kmeans,2020
350913,Rambipuji,109,60,9.08,high,0,kmeans,2021
350913,Rambipuji,32,23,2.67,low,71,kmeans,2022
350913,Rambipuji,20,12,1.67,low,82,kmeans,2023
350913,Rambipuji,21,18,1.75,low,81,kmeans,2024
350914,Panti,56,30,4.67,high,49,kmeans,2020
350914,Panti,28,24,2.33,low,75,kmeans,2021
350914,Panti,22,25,1.83,low,80,kmeans,2022
350914,Panti,24,23,2.00,low,78,kmeans,2023
350914,Panti,9,7,0.75,low,92,kmeans,2024
350915,Sukorambi,14,13,1.17,low,88,kmeans,2020
350915,Sukorambi,27,19,2.25,low,76,kmeans,2021
350915,Sukorambi,14,7,1.17,low,88,kmeans,2022
350915,Sukorambi,18,12,1.50,low,84,kmeans,2023
350915,Sukorambi,4,4,0.33,low,97,kmeans,2024
350916,Jenggawah,55,51,4.58,high,50,kmeans,2020
350916,Jenggawah,51,49,4.25,high,54,kmeans,2021
350916,Jenggawah,34,31,2.83,low,69,kmeans,2022
350916,Jenggawah,57,57,4.75,high,48,kmeans,2023
350916,Jenggawah,38,36,3.17,high,66,kmeans,2024
350917,Ajung,0,0,0.00,low,100,kmeans,2020
350917,Ajung,16,10,1.33,low,86,kmeans,2021
350917,Ajung,23,22,1.92,low,79,kmeans,2022
350917,Ajung,24,20,2.00,low,78,kmeans,2023
350917,Ajung,25,25,2.08,low,78,kmeans,2024
350918,Tempurejo,19,14,1.58,low,83,kmeans,2020
350918,Tempurejo,14,12,1.17,low,88,kmeans,2021
350918,Tempurejo,18,11,1.50,low,84,kmeans,2022
350918,Tempurejo,10,5,0.83,low,91,kmeans,2023
350918,Tempurejo,13,6,1.08,low,89,kmeans,2024
350919,Kaliwates,56,37,4.67,medium,49,kmeans,2020
350919,Kaliwates,63,43,5.25,medium,43,kmeans,2021
350919,Kaliwates,36,28,3.00,medium,67,kmeans,2022
350919,Kaliwates,23,15,1.92,medium,79,kmeans,2023
350919,Kaliwates,16,16,1.33,medium,86,kmeans,2024
350920,Patrang,46,33,3.83,medium,58,kmeans,2020
350920,Patrang,88,54,7.33,medium,20,kmeans,2021
350920,Patrang,42,37,3.50,medium,62,kmeans,2022
350920,Patrang,16,13,1.33,medium,86,kmeans,2023
350920,Patrang,10,8,0.83,medium,91,kmeans,2024
350921,Sumbersari,38,28,3.17,high,66,kmeans,2020
350921,Sumbersari,52,37,4.33,medium,53,kmeans,2021
350921,Sumbersari,59,43,4.92,medium,46,kmeans,2022
350921,Sumbersari,35,18,2.92,medium,68,kmeans,2023
350921,Sumbersari,33,12,2.75,medium,70,kmeans,2024
350922,Arjasa,29,20,2.42,low,74,kmeans,2020
350922,Arjasa,47,30,3.92,low,57,kmeans,2021
350922,Arjasa,19,14,1.58,low,83,kmeans,2022
350922,Arjasa,10,9,0.83,low,91,kmeans,2023
350922,Arjasa,11,8,0.92,low,90,kmeans,2024
350923,Mumbulsari,28,27,2.33,high,75,kmeans,2020
350923,Mumbulsari,27,19,2.25,low,76,kmeans,2021
350923,Mumbulsari,23,17,1.92,low,79,kmeans,2022
350923,Mumbulsari,11,11,0.92,low,90,kmeans,2023
350923,Mumbulsari,10,7,0.83,low,91,kmeans,2024
350924,Pakusari,39,29,3.25,low,65,kmeans,2020
350924,Pakusari,52,44,4.33,low,53,kmeans,2021
350924,Pakusari,34,33,2.83,low,69,kmeans,2022
350924,Pakusari,12,12,1.00,low,89,kmeans,2023
350924,Pakusari,15,11,1.25,low,87,kmeans,2024
350925,Jelbuk,32,29,2.67,low,71,kmeans,2020
350925,Jelbuk,55,30,4.58,low,50,kmeans,2021
350925,Jelbuk,16,10,1.33,low,86,kmeans,2022
350925,Jelbuk,16,15,1.33,low,86,kmeans,2023
350925,Jelbuk,13,6,1.08,low,89,kmeans,2024
350926,Mayang,11,6,0.92,low,90,kmeans,2020
350926,Mayang,35,19,2.92,low,68,kmeans,2021
350926,Mayang,20,19,1.67,low,82,kmeans,2022
350926,Mayang,13,7,1.08,low,89,kmeans,2023
350926,Mayang,10,9,0.83,low,91,kmeans,2024
350927,Kalisat,84,47,7.00,high,23,kmeans,2020
350927,Kalisat,95,58,7.92,high,13,kmeans,2021
350927,Kalisat,68,36,5.67,high,38,kmeans,2022
350927,Kalisat,13,12,1.08,low,89,kmeans,2023
350927,Kalisat,10,10,0.83,low,91,kmeans,2024
350928,Ledokombo,22,12,1.83,low,80,kmeans,2020
350928,Ledokombo,45,34,3.75,low,59,kmeans,2021
350928,Ledokombo,17,12,1.42,low,85,kmeans,2022
350928,Ledokombo,13,13,1.08,low,89,kmeans,2023
350928,Ledokombo,6,5,0.50,low,95,kmeans,2024
350929,Sukowono,38,27,3.17,high,66,kmeans,2020
350929,Sukowono,46,32,3.83,low,58,kmeans,2021
350929,Sukowono,34,29,2.83,low,69,kmeans,2022
350929,Sukowono,25,18,2.08,low,78,kmeans,2023
350929,Sukowono,28,19,2.33,low,75,kmeans,2024
350930,Silo,26,15,2.17,high,77,kmeans,2020
350930,Silo,39,20,3.25,high,65,kmeans,2021
