id,district_id,created_at,level,method,month,number_of_crime,score,updated_at,year
CR-3509-0200-2023,350902,2025-04-25 09:50:50.697+00,low,kmeans,5,3,82,2025-04-25 09:50:50.697+00,2023
CR-3509-0201-2023,350902,2025-04-25 09:50:50.703+00,low,kmeans,6,3,82,2025-04-25 09:50:50.703+00,2023
CR-3509-0103-2020,350901,2025-04-25 09:50:50.055+00,low,kmeans,4,1,94,2025-04-25 09:50:50.055+00,2020
CR-3509-0100-2020,350901,2025-04-25 09:50:50.03+00,low,kmeans,1,0,100,2025-04-25 09:50:50.03+00,2020
CR-3509-0105-2020,350901,2025-04-25 09:50:50.071+00,low,kmeans,6,0,100,2025-04-25 09:50:50.071+00,2020
CR-3509-0102-2020,350901,2025-04-25 09:50:50.047+00,low,kmeans,3,1,94,2025-04-25 09:50:50.047+00,2020
CR-3509-0107-2020,350901,2025-04-25 09:50:50.085+00,low,kmeans,8,1,94,2025-04-25 09:50:50.085+00,2020
CR-3509-0108-2020,350901,2025-04-25 09:50:50.091+00,low,kmeans,9,4,75,2025-04-25 09:50:50.091+00,2020
CR-3509-0109-2020,350901,2025-04-25 09:50:50.098+00,low,kmeans,10,1,94,2025-04-25 09:50:50.098+00,2020
CR-3509-0101-2020,350901,2025-04-25 09:50:50.04+00,low,kmeans,2,3,82,2025-04-25 09:50:50.04+00,2020
CR-3509-0111-2020,350901,2025-04-25 09:50:50.111+00,low,kmeans,12,1,94,2025-04-25 09:50:50.111+00,2020
CR-3509-0112-2021,350901,2025-04-25 09:50:50.118+00,low,kmeans,1,4,75,2025-04-25 09:50:50.118+00,2021
CR-3509-0113-2021,350901,2025-04-25 09:50:50.124+00,low,kmeans,2,3,82,2025-04-25 09:50:50.124+00,2021
CR-3509-0106-2020,350901,2025-04-25 09:50:50.078+00,low,kmeans,7,3,82,2025-04-25 09:50:50.078+00,2020
CR-3509-0115-2021,350901,2025-04-25 09:50:50.136+00,low,kmeans,4,3,82,2025-04-25 09:50:50.136+00,2021
CR-3509-0116-2021,350901,2025-04-25 09:50:50.143+00,low,kmeans,5,3,82,2025-04-25 09:50:50.143+00,2021
CR-3509-0117-2021,350901,2025-04-25 09:50:50.151+00,low,kmeans,6,4,75,2025-04-25 09:50:50.151+00,2021
CR-3509-0118-2021,350901,2025-04-25 09:50:50.161+00,low,kmeans,7,1,94,2025-04-25 09:50:50.161+00,2021
CR-3509-0119-2021,350901,2025-04-25 09:50:50.17+00,low,kmeans,8,2,88,2025-04-25 09:50:50.17+00,2021
CR-3509-0120-2021,350901,2025-04-25 09:50:50.178+00,low,kmeans,9,1,94,2025-04-25 09:50:50.178+00,2021
CR-3509-0121-2021,350901,2025-04-25 09:50:50.185+00,low,kmeans,10,2,88,2025-04-25 09:50:50.185+00,2021
CR-3509-0104-2020,350901,2025-04-25 09:50:50.063+00,low,kmeans,5,1,94,2025-04-25 09:50:50.063+00,2020
CR-3509-0123-2021,350901,2025-04-25 09:50:50.199+00,low,kmeans,12,5,69,2025-04-25 09:50:50.199+00,2021
CR-3509-0124-2022,350901,2025-04-25 09:50:50.206+00,low,kmeans,1,4,75,2025-04-25 09:50:50.206+00,2022
CR-3509-0125-2022,350901,2025-04-25 09:50:50.212+00,low,kmeans,2,2,88,2025-04-25 09:50:50.212+00,2022
CR-3509-0126-2022,350901,2025-04-25 09:50:50.219+00,low,kmeans,3,1,94,2025-04-25 09:50:50.219+00,2022
CR-3509-0127-2022,350901,2025-04-25 09:50:50.229+00,low,kmeans,4,0,100,2025-04-25 09:50:50.229+00,2022
CR-3509-0128-2022,350901,2025-04-25 09:50:50.238+00,low,kmeans,5,0,100,2025-04-25 09:50:50.238+00,2022
CR-3509-0114-2021,350901,2025-04-25 09:50:50.13+00,low,kmeans,3,2,88,2025-04-25 09:50:50.13+00,2021
CR-3509-0130-2022,350901,2025-04-25 09:50:50.252+00,low,kmeans,7,1,94,2025-04-25 09:50:50.252+00,2022
CR-3509-0131-2022,350901,2025-04-25 09:50:50.258+00,low,kmeans,8,2,88,2025-04-25 09:50:50.258+00,2022
CR-3509-0132-2022,350901,2025-04-25 09:50:50.266+00,low,kmeans,9,3,82,2025-04-25 09:50:50.266+00,2022
CR-3509-0133-2022,350901,2025-04-25 09:50:50.272+00,low,kmeans,10,5,69,2025-04-25 09:50:50.272+00,2022
CR-3509-0134-2022,350901,2025-04-25 09:50:50.279+00,low,kmeans,11,0,100,2025-04-25 09:50:50.279+00,2022
CR-3509-0135-2022,350901,2025-04-25 09:50:50.286+00,low,kmeans,12,4,75,2025-04-25 09:50:50.286+00,2022
CR-3509-0136-2023,350901,2025-04-25 09:50:50.294+00,low,kmeans,1,1,94,2025-04-25 09:50:50.294+00,2023
CR-3509-0137-2023,350901,2025-04-25 09:50:50.302+00,low,kmeans,2,1,94,2025-04-25 09:50:50.302+00,2023
CR-3509-0138-2023,350901,2025-04-25 09:50:50.31+00,low,kmeans,3,1,94,2025-04-25 09:50:50.31+00,2023
CR-3509-0139-2023,350901,2025-04-25 09:50:50.316+00,low,kmeans,4,1,94,2025-04-25 09:50:50.316+00,2023
CR-3509-0140-2023,350901,2025-04-25 09:50:50.321+00,low,kmeans,5,0,100,2025-04-25 09:50:50.321+00,2023
CR-3509-0141-2023,350901,2025-04-25 09:50:50.327+00,low,kmeans,6,1,94,2025-04-25 09:50:50.327+00,2023
CR-3509-0142-2023,350901,2025-04-25 09:50:50.333+00,low,kmeans,7,1,94,2025-04-25 09:50:50.333+00,2023
