district_id,district_name,crime_total,crime_cleared,avg_crime,avg_score,level
350901,Jombang,118,110,23.6,79,low
350902,Kencong,91,74,18.2,84,low
350903,Sumberbaru,157,130,31.4,72,high
350904,Gumukmas,91,78,18.2,84,low
350905,Umbulsari,115,88,23.0,79,low
350906,Tanggul,266,213,53.2,52,high
350907,Semboro,94,89,18.8,83,low
350908,Puger,180,160,36.0,67,high
350909,Bangsalsari,154,132,30.8,72,high
350910,Balung,278,223,55.6,49,high
350911,Wuluhan,216,176,43.2,61,high
350912,Ambulu,157,124,31.4,72,high
350913,Rambipuji,278,170,55.6,49,low
350914,Panti,139,109,27.8,75,low
350915,Sukorambi,77,55,15.4,86,low
350916,Jenggawah,235,224,47.0,57,high
350917,Ajung,88,77,17.6,84,low
350918,Tempurejo,74,48,14.8,87,low
350919,Kaliwates,194,139,38.8,65,medium
350920,Patrang,202,145,40.4,63,medium
350921,Sumbersari,217,138,43.4,61,medium
350922,Arjasa,116,81,23.2,79,low
350923,Mumbulsari,99,81,19.8,82,low
350924,Pakusari,152,129,30.4,73,low
350925,Jelbuk,132,90,26.4,76,low
350926,Mayang,89,60,17.8,84,low
350927,Kalisat,270,163,54.0,51,high
350928,Ledokombo,103,76,20.6,82,low
350929,Sukowono,171,125,34.2,69,low
350930,Silo,143,85,28.6,74,high
350931,Sumberjambe,109,94,21.8,80,low
