id,crime_id,crime_category_id,location_id,description,victim_count,status,created_at,updated_at,timestamp
CI-3509-2146-2020,CR-3509-0101-2020,CC-0046,c84ce263-ab46-4555-a44d-ec8482091dc9,"Keimigrasian dilaporkan di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:03.866+00,2025-04-25 09:51:03.866+00,2020-02-07 11:47:00+00
CI-3509-2147-2020,CR-3509-0101-2020,CC-0047,c84ce263-ab46-4555-a44d-ec8482091dc9,"Laporan ekstradisi terjadi pada Thu Feb 20 2020 13:35:00 GMT+0700 (Western Indonesia Time) di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:03.872+00,2025-04-25 09:51:03.872+00,2020-02-20 06:35:00+00
CI-3509-2148-2020,CR-3509-0101-2020,CC-0026,c84ce263-ab46-4555-a44d-ec8482091dc9,"Kejadian premanisme di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:03.878+00,2025-04-25 09:51:03.878+00,2020-02-04 00:30:00+00
CI-3509-2149-2020,CR-3509-0102-2020,CC-0031,c84ce263-ab46-4555-a44d-ec8482091dc9,"Kejadian kenakalan remaja di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:03.899+00,2025-04-25 09:51:03.899+00,2020-03-15 10:37:00+00
CI-3509-2150-2020,CR-3509-0103-2020,CC-0053,c84ce263-ab46-4555-a44d-ec8482091dc9,"Kejadian trans ekonomi crime di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:03.919+00,2025-04-25 09:51:03.919+00,2020-04-04 13:49:00+00
CI-3509-2151-2020,CR-3509-0104-2020,CC-0046,c84ce263-ab46-4555-a44d-ec8482091dc9,"Insiden keimigrasian terjadi di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:03.939+00,2025-04-25 09:51:03.939+00,2020-05-23 14:16:00+00
CI-3509-2152-2020,CR-3509-0106-2020,CC-0007,c84ce263-ab46-4555-a44d-ec8482091dc9,"Kejadian pemalsuan materai di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:03.965+00,2025-04-25 09:51:03.965+00,2020-07-02 01:40:00+00
CI-3509-2153-2020,CR-3509-0106-2020,CC-0009,c84ce263-ab46-4555-a44d-ec8482091dc9,"Laporan perzinahan terjadi pada Mon Jul 20 2020 02:39:00 GMT+0700 (Western Indonesia Time) di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:03.969+00,2025-04-25 09:51:03.969+00,2020-07-19 19:39:00+00
CI-3509-2154-2020,CR-3509-0106-2020,CC-0024,c84ce263-ab46-4555-a44d-ec8482091dc9,"Curanmor dilaporkan di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,unresolved,2025-04-25 09:51:03.975+00,2025-04-25 09:51:03.975+00,2020-06-30 20:32:00+00
CI-3509-2155-2020,CR-3509-0107-2020,CC-0033,c84ce263-ab46-4555-a44d-ec8482091dc9,"Laporan penadahan terjadi pada Mon Aug 31 2020 17:23:00 GMT+0700 (Western Indonesia Time) di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,unresolved,2025-04-25 09:51:04.001+00,2025-04-25 09:51:04.001+00,2020-08-31 10:23:00+00
CI-3509-2156-2020,CR-3509-0108-2020,CC-0035,c84ce263-ab46-4555-a44d-ec8482091dc9,"Laporan agraria terjadi pada Sun Sep 27 2020 18:07:00 GMT+0700 (Western Indonesia Time) di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:04.026+00,2025-04-25 09:51:04.026+00,2020-09-27 11:07:00+00
CI-3509-2157-2020,CR-3509-0108-2020,CC-0027,c84ce263-ab46-4555-a44d-ec8482091dc9,"Insiden pemerasan dan pengancaman terjadi di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:04.031+00,2025-04-25 09:51:04.031+00,2020-09-15 20:24:00+00
CI-3509-2158-2020,CR-3509-0108-2020,CC-0005,c84ce263-ab46-4555-a44d-ec8482091dc9,"Kejadian member suap di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:04.036+00,2025-04-25 09:51:04.036+00,2020-09-15 15:37:00+00
CI-3509-2159-2020,CR-3509-0108-2020,CC-0025,c84ce263-ab46-4555-a44d-ec8482091dc9,"Kasus pengeroyokan Jalan Pahlawan No. 113, Jombang, Jember",0,resolved,2025-04-25 09:51:04.041+00,2025-04-25 09:51:04.041+00,2020-09-27 23:52:00+00
CI-3509-2160-2020,CR-3509-0109-2020,CC-0034,c84ce263-ab46-4555-a44d-ec8482091dc9,"Pekerjakan Anak dilaporkan di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,unresolved,2025-04-25 09:51:04.062+00,2025-04-25 09:51:04.062+00,2020-10-19 05:44:00+00
CI-3509-2161-2020,CR-3509-0111-2020,CC-0043,c84ce263-ab46-4555-a44d-ec8482091dc9,"Kejadian sistem peradilan anak di daerah Jombang,di sekitar Jombang,di wilayah Jombang,di jalan utama Jombang,di perumahan Jombang,di pasar Jombang,di perbatasan Jombang",0,resolved,2025-04-25 09:51:04.078+00,2025-04-25 09:51:04.078+00,2020-12-13 08:03:00+00
