id,district_id,population,number_of_unemployed,population_density,year,created_at,updated_at
1d219cfc-dd58-465a-9f07-5774278f4ee2,350901,50003,19330,899.820046787835,2020,2025-04-25 09:50:49.063+00,2025-04-25 09:50:49.063+00
2913b4f2-ebda-4f86-ab12-29c875eb89a3,350901,57045,11882,1026.54309879431,2021,2025-04-25 09:50:49.071+00,2025-04-25 09:50:49.071+00
03e043ad-63e2-49da-8c44-7ad74a43fb0b,350901,56728,12175,1020.83858196869,2022,2025-04-25 09:50:49.078+00,2025-04-25 09:50:49.078+00
6623267b-0d7f-4800-bb3c-972433926751,350901,56439,12313,1015.63793413712,2023,2025-04-25 09:50:49.086+00,2025-04-25 09:50:49.086+00
f597f085-c3c4-43ef-8b23-342047e4023c,350901,56229,13113,1011.85891668166,2024,2025-04-25 09:50:49.094+00,2025-04-25 09:50:49.094+00
b096a385-42ce-49a2-b583-9f5b19e3a86e,350902,65173,24947,1067.88464689497,2020,2025-04-25 09:50:49.179+00,2025-04-25 09:50:49.179+00
9194a0c4-7ffc-4692-a6c0-455577f3bab1,350902,72353,16835,1185.5317057185,2021,2025-04-25 09:50:49.186+00,2025-04-25 09:50:49.186+00
1635c6a4-2680-4b5c-95c5-1bd9ec393928,350902,72247,17382,1183.79485498935,2022,2025-04-25 09:50:49.194+00,2025-04-25 09:50:49.194+00
39c67204-cbf6-47c9-ba75-2919c064b9e3,350902,72067,17639,1180.84548582664,2023,2025-04-25 09:50:49.201+00,2025-04-25 09:50:49.201+00
8cca6a65-9210-4531-bf46-c4863c180461,350902,71327,18351,1168.72030149107,2024,2025-04-25 09:50:49.208+00,2025-04-25 09:50:49.208+00
1ec8b300-e2f5-43d0-bfc5-8a4b629e41c1,350903,99416,43691,628.856980201151,2020,2025-04-25 09:50:49.703+00,2025-04-25 09:50:49.703+00
cc980565-1f5d-4c6c-bd8a-86c17afe8baa,350903,117893,29167,745.73344297552,2021,2025-04-25 09:50:49.712+00,2025-04-25 09:50:49.712+00
e89058ce-f0e6-4a9a-8a9c-32bee9875e72,350903,118635,29955,750.426971977987,2022,2025-04-25 09:50:49.719+00,2025-04-25 09:50:49.719+00
d85bace4-8621-409c-9947-89cb3818f2b7,350903,114774,30422,726.004174837118,2023,2025-04-25 09:50:49.725+00,2025-04-25 09:50:49.725+00
3b0eb17a-38ff-4973-a911-e3346ab49ce8,350903,115692,32314,731.810993737744,2024,2025-04-25 09:50:49.732+00,2025-04-25 09:50:49.732+00
50aa45dd-ed16-4694-940d-0784ea7eaae2,350904,68212,26753,731.339122976305,2020,2025-04-25 09:50:48.927+00,2025-04-25 09:50:48.927+00
ff038c80-8084-4926-a78e-5d9fdbe02ef0,350904,90208,21458,967.170580036453,2021,2025-04-25 09:50:48.934+00,2025-04-25 09:50:48.934+00
fef3c36e-4c43-457a-81e5-159447e93b38,350904,89746,21998,962.217218827061,2022,2025-04-25 09:50:48.942+00,2025-04-25 09:50:48.942+00
8c32a7da-d4a0-4a8a-a01b-7f6a79552f79,350904,88481,22308,948.654444087059,2023,2025-04-25 09:50:48.95+00,2025-04-25 09:50:48.95+00
fd055d66-d1e7-4f10-a4ad-085052f0390f,350904,89412,2354,958.636217433258,2024,2025-04-25 09:50:48.958+00,2025-04-25 09:50:48.958+00
d5685568-6219-43a9-b990-c7f490656d25,350905,73055,26753,1013.24549237171,2020,2025-04-25 09:50:49.869+00,2025-04-25 09:50:49.869+00
d58a9a94-8cbf-4ffa-ab19-1296eb056b66,350905,8029,19566,111.359223300971,2021,2025-04-25 09:50:49.876+00,2025-04-25 09:50:49.876+00
b053bcd9-bf6c-4c5b-8589-f986bd17d8af,350905,81485,20130,1130.16643550624,2022,2025-04-25 09:50:49.883+00,2025-04-25 09:50:49.883+00
bff98f86-1f4a-4ce3-baae-7dfc129680ee,350905,79769,20308,1106.36615811373,2023,2025-04-25 09:50:49.892+00,2025-04-25 09:50:49.892+00
e38eebb4-eeb2-49cf-9e57-84fbddf58a26,350905,79769,20922,1106.36615811373,2024,2025-04-25 09:50:49.9+00,2025-04-25 09:50:49.9+00
8b22ec9b-09da-41be-a7d3-82af7a76406c,350906,86591,33057,433.084925477643,2020,2025-04-25 09:50:49.804+00,2025-04-25 09:50:49.804+00
13833589-bd23-4cf7-a2d4-0280f71d84b5,350906,95089,24369,475.587676302891,2021,2025-04-25 09:50:49.811+00,2025-04-25 09:50:49.811+00
9ac422be-1e5f-4c7d-94db-2d3023a5daa9,350906,93256,24865,466.419925977793,2022,2025-04-25 09:50:49.818+00,2025-04-25 09:50:49.818+00
df895709-8d2f-405e-abee-70b44b13603c,350906,93275,25114,466.514954486346,2023,2025-04-25 09:50:49.825+00,2025-04-25 09:50:49.825+00
834d09c5-ffad-4866-bfe1-f04882650dd0,350906,93921,26572,469.745923777133,2024,2025-04-25 09:50:49.831+00,2025-04-25 09:50:49.831+00
cd3af39f-5d12-4783-9ea7-cb6b03c5ef00,350907,43475,18956,914.108494533221,2020,2025-04-25 09:50:49.535+00,2025-04-25 09:50:49.535+00
47e5d005-b8dd-4ff6-8aa2-c8f8a1a8893e,350907,50440,13464,1060.5550883095,2021,2025-04-25 09:50:49.543+00,2025-04-25 09:50:49.543+00
a51496c5-8c77-46ce-a362-daeecaf96a3f,350907,6118,13790,128.637510513036,2022,2025-04-25 09:50:49.551+00,2025-04-25 09:50:49.551+00
87947f33-0f9f-4241-980f-62c07b6978fc,350907,50114,13901,1053.70058873002,2023,2025-04-25 09:50:49.582+00,2025-04-25 09:50:49.582+00
f4271000-0e59-4e4a-958a-2446661f2a6c,350907,50049,14605,1052.3338940286,2024,2025-04-25 09:50:49.59+00,2025-04-25 09:50:49.59+00
ad699af1-6a8b-44b9-abf4-d9ef0060b905,350908,114506,26753,715.394227164813,2020,2025-04-25 09:50:49.457+00,2025-04-25 09:50:49.457+00
