code_unit,district_id,name,description,type,created_at,updated_at,address,land_area,latitude,longitude,location,phone
UT-0068,350920,Polres Jember,Unit Jember is categorized as POLRES and operates in the Jember area.,polres,2025-04-25 09:50:48.324169+00,2025-04-25 09:50:48.324169+00,"Jl. R.A. Kartini No.17, Sawahan Cantian, Kepatihan, Kec. Patrang, Kabupaten Jember, Jawa Timur 68137",,-8.17092173103588,113.705480518207,0101000020E6100000826AC297266D5C401BF3990D835720C0,331484285
UT-0069,350930,Polsek Silo,Unit Silo is categorized as POLSEK and operates in the Silo area.,polsek,2025-04-25 09:50:48.339495+00,2025-04-25 09:50:48.339495+00,"Krajan, Sumberjati, Kec. Silo, Kabupaten Jember, Jawa Timur 68184",,-8.18621408051639,113.876536568063,0101000020E61000000965D52C19785C40C6BEB373575F20C0,0331521010
UT-0070,350931,Polsek Sumberjambe,Unit Sumberjambe is categorized as POLSEK and operates in the Sumberjambe area.,polsek,2025-04-25 09:50:48.350404+00,2025-04-25 09:50:48.350404+00,"Jl. PB. Sudirman No.81, Pasar, Sumberjambe, Kec. Sumberjambe, Kabupaten Jember, Jawa Timur 68195",,-8.06755724887193,113.900112147976,0101000020E61000008392FB6F9B795C407D061DDD962220C0,0331566268
UT-0071,350908,Polsek Puger,Unit Puger is categorized as POLSEK and operates in the Puger area.,polsek,2025-04-25 09:50:48.361883+00,2025-04-25 09:50:48.361883+00,"Jl. Achmad Yani 57 Puger, Umbulsari, Kabupaten Jember, Jawa Timur 68164",,-8.36649460219204,113.472968652148,0101000020E610000091404F1E455E5C409326352EA5BB20C0,0336721119
UT-0072,350909,Polsek Bangsalsari,Unit Bangsalsari is categorized as POLSEK and operates in the Bangsalsari area.,polsek,2025-04-25 09:50:48.372513+00,2025-04-25 09:50:48.372513+00,"Jl. Jenderal Ahmad Yani No.16, Kalisatan, Bangsalsari, Kec. Bangsalsari, Kabupaten Jember, Jawa Timur 68154",,-8.20090108010506,113.533809861966,0101000020E610000048DBD6F029625C408B90A181DC6620C0,0331711401
UT-0073,350906,Polsek Tanggul,Unit Tanggul is categorized as POLSEK and operates in the Tanggul area.,polsek,2025-04-25 09:50:48.383372+00,2025-04-25 09:50:48.383372+00,"Jl. Urip Sumoharjo N0.50 Tanggul 68155, Tanggul Wetan, Tanggul, Jawa Timur 68155",,-8.16605008923455,113.461150444827,0101000020E610000057C4277D835D5C4043856D84045520C0,0336441110
UT-0074,350907,Polsek Semboro,Unit Semboro is categorized as POLSEK and operates in the Semboro area.,polsek,2025-04-25 09:50:48.398359+00,2025-04-25 09:50:48.398359+00,"Jl. Telomoyo Dusun Semboro pasar, Desa Semboro, Jember, Jawa Timur 68157",,-8.20624211097906,113.434807048468,0101000020E6100000624FF1E0D35B5C40176DE390986920C0,0336444200
UT-0075,350901,Polsek Jombang,Unit Jombang is categorized as POLSEK and operates in the Jombang area.,polsek,2025-04-25 09:50:48.409818+00,2025-04-25 09:50:48.409818+00,"Jl. KH. Dewantara No. 88 Jombang, Jember, Jawa Timur 68168",,-8.24593809398526,113.32178564847,0101000020E61000000D20D52298545C40B8030D99EB7D20C0,0336321100
UT-0076,350904,Polsek Gumukmas,Unit Gumukmas is categorized as POLSEK and operates in the Gumukmas area.,polsek,2025-04-25 09:50:48.430304+00,2025-04-25 09:50:48.430304+00,"Jl. Achmad Yani 89 Gumukmas, Gumukmas, Jember, Jawa Timur 68165",,-8.31508705124681,113.412968673611,0101000020E6100000A2DB28146E5A5C400AFF081753A120C0,0336321391
UT-0077,350905,Polsek Umbulsari,Unit Umbulsari is categorized as POLSEK and operates in the Umbulsari area.,polsek,2025-04-25 09:50:48.440321+00,2025-04-25 09:50:48.440321+00,"Jl. Budi Utomo No.16, Mumbulsari, Kabupaten Jember, Jawa Timur 68174",,-8.25285408976718,113.742212552164,0101000020E6100000688E1369806F5C40766B5C17768120C0,0331793262
UT-0078,350902,Polsek Kencong,Unit Kencong is categorized as POLSEK and operates in the Kencong area.,polsek,2025-04-25 09:50:48.450759+00,2025-04-25 09:50:48.450759+00,"Jl. Diponegoro, No. 35, Kencong, Jember 68167",,-8.27979445346788,113.376640361946,0101000020E6100000593A2DE01A585C40547EF637418F20C0,0336321210
UT-0079,350903,Polsek Sumberbaru,Unit Sumberbaru is categorized as POLSEK and operates in the Sumberbaru area.,polsek,2025-04-25 09:50:48.460413+00,2025-04-25 09:50:48.460413+00,"Jl. Panglima Besar Sudirman, No. 3, Sumberbaru, Jember, Jawa Timur 68173",,-8.11925572743138,113.393836763804,0101000020E61000000B201D9F34595C40605B32160F3D20C0,0336324210
UT-0080,350919,Polsek Kaliwates,Unit Kaliwates is categorized as POLSEK and operates in the Kaliwates area.,polsek,2025-04-25 09:50:48.471137+00,2025-04-25 09:50:48.471137+00,"Jl. Hayam Wuruk No.153 Kelurahan Sempusari Kecamatan Kaliwates Kabupaten Jember, Jawa Timur",,-8.18652464693621,113.672500846567,0101000020E610000068A2FD400A6B5C405AFA9428805F20C0,0331484026
UT-0081,350917,Polsek Ajung,Unit Ajung is categorized as POLSEK and operates in the Ajung area.,polsek,2025-04-25 09:50:48.494595+00,2025-04-25 09:50:48.494595+00,"Ajung Kulon, Ajung, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175",,-8.2150168595693,113.668072771751,0101000020E610000031814CB4C16A5C40A6E097B0166E20C0,
UT-0082,350918,Polsek Tempurejo,Unit Tempurejo is categorized as POLSEK and operates in the Tempurejo area.,polsek,2025-04-25 09:50:48.506991+00,2025-04-25 09:50:48.506991+00,"Jl. KH. Abdurrahman, Tempurejo, Jember, Jawa Timur 68173",,-8.30059219585402,113.688580419645,0101000020E6100000A4C29BB3116C5C406E406538E79920C0,0331757410
UT-0083,350911,Polsek Wuluhan,Unit Wuluhan is categorized as POLSEK and operates in the Wuluhan area.,polsek,2025-04-25 09:50:48.517485+00,2025-04-25 09:50:48.517485+00,"Jl. Ambulu, Wuluhan, Kabupaten Jember, Jawa Timur 68162",,-8.3383560226923,113.551827877284,0101000020E61000002D7DDF2551635C4073BC27003DAD20C0,0336881003
